Pattern,Reasoning_Clause,Decision
Safety Established,"sifies as therapeutically equivalent, and thus substitutable, those products that are (1) approved as safe and effective, (2) pharmaceutically equival",Denial
Other/Unspecified,"ons explained below, we deny your petition",Denial
Other/Unspecified,set forth in section 503(b )(1) of the fd&c act (2 1 u,Denial
Other/Unspecified,of its toxicity or other potentiality for harmful effect,Denial
Other/Unspecified,ures necessary to its use,Denial
Other/Unspecified,"ons discussed below, we are denying the petition",Denial
Other/Unspecified,well as other bases for withdrawal,Denial
Safety Established,"ed on a finding by fda that the device is unsafe or ineffective under the conditions ofuse prescribed, recommended, or suggested in the labeling",Denial
Safety Established,"a finding by fda that the device is unsafe or ineffective under the conditions ofuse prescribed, recommended, or suggested in the labeling",Denial
Safety Established,no per se requirement under the statute for the agency to evaluate the safety of a device,Denial
Other/Unspecified,"your request indicates, 21 usc 360hh et seq",Denial
Other/Unspecified,promulgated several perfonnance standards for such products pursuant to this authority,Denial
Other/Unspecified,semblers and users ofthese products,Denial
Other/Unspecified,"semblers for diagnostic x-ray systems,"" available at http://www",Denial
Other/Unspecified,ed in a rnisunderstii~~ding of the status of the device,Denial
Other/Unspecified,a i'ecsana epi-no birth trainer,Denial
Other/Unspecified,a pelvic floor muscle exerciser intended fbr use in birth preparation,Denial
Other/Unspecified,"t huntington drive suite 101 monrovia, california 91016 re: docket no",Denial
Procedural Issue,"nutritional product, fda's statutes, regulations and guidance documents do not expressly",Denial
Other/Unspecified,"well as the supplements you submitted dated november 9, 2007, december 6 and 12, 2007, march 21, 2008, september 12 and 17, 2008, june 12,2009, may 2",Denial
Other/Unspecified,"ons stated below, your petition is denied",Denial
Other/Unspecified,fluosilicic acid appears on all registries of toxic substances (petition at 1-2),Denial
Other/Unspecified,"vice-president, finance and administration and later as president and ceo of bella cucina until you resigned",Denial
Procedural Issue,"ons explained below, we are denying the specific request made in your 1 this use matches the definition in our food labeling regulations (21 cfr101",Denial
Other/Unspecified,"""gluten-free"" must ensure that the foods meet certain criteria",Denial
Other/Unspecified,", when combined with your requested action, your definition would seem to require gluten labeling statements on drug products triggered, for example,",Denial
Other/Unspecified,"highly processed to remove gluten, such as distilled ethanol) if the ingredient is present in the finished drug product above 20 ppm, even if gluten",Denial
Other/Unspecified,encompassing a labeling requirement triggered by the presence of gluten (as defined in § i 0 1,Denial
Procedural Issue,in accordance with title 21 of the code offederal regulations (cfr) 10,Denial
Procedural Issue,"ons discussed below, we are denying the petition in accordance with title 21 of the code offederal regulations (cfr) 10",Denial
Procedural Issue,"of your petition, and for the reasons discussed below, we are denying the petition in accordance with title 21 of the code offederal regulations (cfr",Denial
Other/Unspecified,genzyme failed to act with due diligence during some or all ofthe regulatory review period,Denial
Other/Unspecified,ks that: ( 1) fda conduct an investigation into the due diligence of applicant genzyme regarding the drug marketed under the name cerdelga; (2) fda de,Denial
Other/Unspecified,requested by genzyme; [and) (4) fda recommend to the [united states] patent and trademark office [uspto] that genzyme's patent [term] extension reque,Denial
Other/Unspecified,es and other areas of unmet medical need,Denial
Other/Unspecified,"ons stated below, but are taking other actions with respect to 1,4-dioxane in cosmetics",Denial
Insufficient Evidence,"a contaminant in cosmetic products and the lack of data demonstrating that any detectable concentration of 1,4-dioxane would render a cosmetic injuri",Denial
Other/Unspecified,"your citizen petition notes, 1,4-dioxane is a potential human carcinogen' that is not used as a cosmetic ingredient; rather, it is a contaminant that",Denial
Other/Unspecified,a byproduct during the manufacturing of certain cosmetic ingredients,Denial
Other/Unspecified,onably anticipated to be a human carcinogen,Denial
Insufficient Evidence,"the cun-ent data on levels of 1,4-dioxane as a contaminant in cosmetic products and the lack of data demonstrating that any detectable concentration",Denial
Other/Unspecified,e priority review voucher list,Denial
Other/Unspecified,"es like sickle cell disease that impact patients from predominantly under-served, and marginalized populations",Denial
Other/Unspecified,"ons explained below, your petition is denied",Denial
Other/Unspecified,e product applications that meet certain criteria,Denial
Other/Unspecified,"e,” defined in section 524(a)(3) of the fd&c act as any of the following: (a) tuberculosis",Denial
Sufficient Evidence,"sert that medical studies have shown adverse health effects slich as asthma, hives, and attention deficit- hyperactivity disorder, arc associated with",Denial
Other/Unspecified,somc consulllers are unaware they are allergic to fd&c yellow no,Denial
Other/Unspecified,sert that the approval of fd&c yellow no,Denial
Other/Unspecified,one of tile chemicals used in making the color additive is a carcinogen and fda's color additive anticancer (delaney) clause has a zero tolerance for,Denial
Other/Unspecified,sertions as support for your request for fda to announce enforcement action against restaurants that do not provide certain labeling related to the pr,Denial
